sentence,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
i have a account i did not want to begin with and feel this is a very deceptive business practice just to apply for a credit card and then be denied,40.934619102521765,,,,34.80934927440869,,,,,23.060390275670247,11.614352828508418
our home was flooded in _proper_noun_ we received checks to repair our home from _proper_noun_ with no problem but we had to forward those checks to our mortgage company which is loancare in _proper_noun_,,,,,22.652044456283974,,,,,,
navient is unwilling to help reduce loan payments to what is affordable for us,,18.427029295810573,,,,53.500533794523484,,,,,
equifax continues to report inaccurate information on my credit file which lowers my credit score,,,4.58923995676422,,16.05289389111501,15.708862593983547,8.25036414816455,,,,
my account is not delinquent and it seems outrageous to me that they would be charging me a fee for something they have no reason to do even though no one has ever come to my home to inspect anything from ocwen or anywhere else for that matter,,,,,,,,,17.74833887924713,,
i have repeated asked central financial since _proper_noun_ of _proper_noun_ to provide verification of debt for 100.00 that they are continuing to renew on my credit,,,,,,43.03919220252495,,12.688030893463557,,,
they are alleging that the vehicle purchased at the wrong address at the time there was a credit freeze and fraud alert on my credit report that i agreed to pay double for a vehicle with a sticker price of 35000.00,,19.29554272374479,,,,,,,,,
i have been battling with statements phone calls to the _proper_noun_ credit bureaus for the past four years,,,,,,17.470030852232586,,,25.74120003201228,,
bogus late fee charges from navient student loan,,162.5187941382348,93.41394776995875,,,37.646405649428,,,135.9644422991972,,
after a year of on time and high value payments on my account i made a _proper_noun_ payment to my _proper_noun_ credit limit to provide a positive improvement to my credit profile and the bank immediately withdrew my credit limit of the _proper_noun_ and lowered my limit to _proper_noun_ almost instantaneously,,,22.611723627615675,,,,,,,,
"i now have a delinquent notice which i faxed to them yesterday and they can not confirm that our taxes will be paid, nor when they will be paid",,,,,,,,,,,
the regions insurance representative informed me that you at the cfpb write the letters and that they are the only letters that can be sent out,,,,,24.622668238533166,,,,,,
i was told i did nt meet the requirements even though i paid my annual fee because i did nt make a purchase,,,,,,,,,20.77050655771477,,9.84218601124313
i am now in debt because of the the amount that i borrowed and the interest rate navient gave me,,,,,,21.616675731606897,,,,,
"according to information equifax shared with _proper_noun_ _proper_noun_, not only was _proper_noun_ _proper_noun_ reinstated but my score went down _proper_noun_ points",,,,,,,,,,,
"this benefit was taken away, and no refund of my fee has been offered",,,,,,,,,,,
i was a victim of identity theft and noticed a collection from harvest associates,,,,,,,5.239220786951174,14.368456134885603,,,
i tried to use contact information at experian.com/disputes to dispute _proper_noun_ claims,,,,,,,,,,,
i received a bill from _proper_noun_ _proper_noun_ for an account that i do not have with them,16.914899597192587,12.682849330678364,10.240998563416015,12.144805139114336,15.631244689095741,16.770997980267648,11.762701292929908,9.733594111353314,11.033293220626376,16.260948422735733,13.839635539236333
on _proper_noun_ _proper_noun_ i received a call form a lady pretending to be with the office of pretrial of investigation,,,,,,,,,10.08958681460359,,
